A	B	C	D	E11	E22	G12	G23	Mass	Load
33.76224	10.09008	13.1946	24.0084	151.15833	8.852409	4.455168	2.987253	0.839391	42.087
35.06364	9.8256	15.4299	25.4103	144.30702	9.207837	5.240064	2.9481	0.859477	47.208
43.06284	12.24864	16.5144	32.976	134.52976	7.936866	5.473824	2.767339	0.931619	59.032
30.20688	14.25912	16.84515	26.0187	150.74133	7.459614	4.333968	3.212747	0.855171	50.336
30.5244	12.16404	14.95365	26.3628	138.53991	6.977502	5.332416	3.393539	0.845803	40.84
39.9204	10.42872	13.15485	25.146	126.67348	7.547256	4.244496	3.481145	0.870332	42.808
38.33316	9.4446	17.2155	32.2617	152.8305	8.194932	4.296432	3.210887	0.90792	53.462
29.1276	11.92068	14.04105	27.5796	150.32294	9.290619	4.841856	2.815792	0.840301	42.57
42.6186	9.85728	17.1228	24.7227	141.46586	7.513236	5.144832	3.033846	0.896017	56.016
43.2216	11.06352	15.8796	28.3203	140.62908	7.805403	4.08	3.030095	0.909367	55.879
34.96824	13.67712	17.78415	33.9018	154.66947	8.219313	4.371456	2.754288	0.908534	56.185
43.317	12.8412	15.2844	30.2514	122.99693	9.193257	4.758144	2.933189	0.917675	53.325
39.825	13.35972	13.43265	28.0293	137.28752	9.276039	5.202576	2.716995	0.887332	49.67
29.22264	11.89944	15.4431	32.6055	126.75688	7.508295	4.152144	3.40659	0.866418	37.458
30.27024	10.94712	16.0383	23.6646	132.94099	8.326476	5.248752	3.397259	0.836776	39.397
37.1268	11.22228	14.80815	27.5268	158.84781	8.584542	4.114608	3.313404	0.876112	52.672
29.60352	12.68244	13.72365	34.9599	126.08829	9.198117	5.081376	3.175485	0.871258	38.415
29.57184	12.291	17.18895	30.1983	142.13445	8.983872	4.362816	2.724466	0.866375	43.851
36.7776	14.59764	14.3982	27.2358	119.32038	7.401213	4.711968	2.972342	0.877874	43.47
39.69828	10.71444	16.71285	35.1186	142.63485	7.483995	5.476704	3.432661	0.924722	53.315
30.36564	13.71948	13.2342	33.2139	141.38107	7.186887	5.39592	3.421501	0.867101	42.259
42.84072	11.55036	15.7341	25.9923	131.18681	7.026183	4.752384	3.417781	0.89882	53.323
39.38076	9.99492	16.6863	34.3251	139.1251	6.923961	4.43784	3.25934	0.919168	50.118
33.28596	10.67208	18.1545	27.9765	127.59366	8.92053	4.19832	3.018935	0.874933	44.267
28.90548	13.43376	15.52245	33.3198	133.02439	8.735526	5.02944	2.662962	0.870569	40.594
38.30148	9.5928	15.9192	30.648	128.93084	9.095895	4.279104	3.373048	0.895925	45.633
29.85768	12.69312	12.24225	33.5844	132.69079	7.021323	4.714848	2.849334	0.860603	38.168
37.38096	10.31232	13.6575	24.8814	128.51245	9.008172	5.40168	3.337615	0.860472	43.788
43.92	11.83596	15.0198	30.0927	141.88286	8.229033	4.890912	3.112121	0.916874	58.76
36.26964	14.3226	17.36085	23.5059	131.9388	8.238753	4.57056	3.108401	0.87397	49.25
29.79432	13.16916	11.93805	31.9707	130.85182	8.862129	4.377216	3.354386	0.853422	37.816
37.76184	14.36484	13.9221	29.7222	152.07851	7.186887	5.16792	2.758008	0.888974	53.518
38.04732	10.87308	12.7317	33.4521	126.00489	9.217638	4.178112	3.09907	0.894309	42.984
39.72996	14.11092	16.3689	33.7167	152.6637	8.935191	5.450736	3.242569	0.922694	64.716
32.93676	13.96284	14.8479	28.7436	157.25904	9.251658	5.113104	3.24818	0.867967	53.17
40.90428	10.4604	17.59905	24.564	150.65793	8.725725	4.394544	3.037566	0.891121	56.246
38.14272	11.63496	12.20265	31.8648	147.14818	7.099245	5.427648	2.875436	0.887162	49.522
38.65068	13.55016	15.4563	32.3676	121.49295	7.211268	4.20984	3.268671	0.908056	45.235
31.41324	10.725	15.8928	25.0929	134.61316	9.246798	4.492656	3.445712	0.846154	39.797
38.11104	13.09512	12.82425	35.727	152.9973	7.133346	4.587888	2.935049	0.907166	52.764
30.30192	14.18496	14.0676	31.2036	152.49551	7.182027	4.481136	2.830703	0.863329	44.66
28.3338	11.80428	14.7156	30.6216	140.37888	8.078049	4.91976	3.565	0.851549	40.687
34.14312	13.81464	16.8054	35.9916	144.55722	9.232218	4.79856	3.002164	0.909344	53.128
36.4284	12.98928	15.65475	24.6432	142.55145	8.959491	5.502672	3.09535	0.868815	50.905
41.66604	11.31756	12.4143	24.1407	130.35142	8.944911	4.723536	2.761728	0.872216	45.217
36.80928	14.41776	15.1389	35.3568	137.11933	7.761582	4.778352	3.510967	0.91202	50.826
35.76204	11.87832	15.4827	34.8012	118.4836	8.652744	4.31376	3.384208	0.903057	42.776
43.50744	12.873	15.85305	25.1724	151.49332	7.29891	5.188128	2.892207	0.90143	63.138
28.4292	12.67188	14.9934	27.6855	150.82473	8.847468	4.253136	3.345086	0.843083	42.78
41.50764	11.58204	17.8239	32.7114	137.95472	8.930331	5.3988	3.281722	0.928559	60.258
42.11064	12.7566	14.6628	33.3462	141.96626	8.321535	5.312208	3.56314	0.921961	57.88
37.50768	14.62944	11.9646	30.5952	144.22362	7.902765	4.484016	2.834423	0.88342	49.364
35.85708	9.84672	14.59665	35.2773	146.0612	7.932006	4.80144	3.542649	0.899081	48.29
35.98416	12.35448	17.5857	30.2778	144.97561	9.212697	4.117536	3.266811	0.895655	52.091
37.88856	13.7088	17.5461	27.1563	142.46805	8.482239	4.111728	2.748677	0.89389	55.223
42.58692	10.51332	12.4803	25.2516	140.54568	7.854084	5.006352	3.456903	0.879328	48.534
37.03176	10.32288	14.094	28.7964	146.1446	6.938541	4.524432	3.505356	0.876346	47.955
34.1748	13.857	16.10445	24.7755	154.16768	7.074945	5.242944	3.084159	0.863416	53.411
37.476	12.10056	17.5329	26.8389	119.23698	7.27461	4.218528	2.858634	0.887932	43.839
33.95268	14.21676	18.10155	31.6269	157.17564	8.243694	5.000544	3.222078	0.897598	57.905
39.53952	14.1744	15.56205	36.3354	123.16373	8.50176	4.509984	3.026375	0.92886	50.866
43.03116	13.3914	13.3665	33.9546	135.69875	8.603982	4.654272	2.64244	0.923746	54.977
28.14336	11.17992	12.1365	29.934	137.62112	7.727481	5.27472	3.188536	0.836144	37.717
40.14252	9.57168	13.1682	24.855	149.73775	7.70796	4.287792	3.195976	0.868836	48.47
40.5234	14.35428	13.08885	24.0612	148.40196	8.871849	5.023632	3.128892	0.875978	53.059
32.61924	11.26464	11.75295	30.7011	126.50668	7.488855	4.408992	3.449463	0.856667	36.231
29.34972	13.49724	12.282	26.1246	124.16731	7.625178	4.954368	2.832563	0.831071	35.859
38.39652	13.9734	13.89555	34.6689	127.09187	9.164016	4.980384	3.41217	0.910068	47.7
30.6828	14.6082	12.6258	33.6636	130.76842	8.233893	4.859136	2.979782	0.869091	39.477
29.69892	11.69844	17.65185	23.9292	139.2919	8.180352	4.43496	3.166154	0.843575	42.392
29.4768	12.97872	13.39305	35.6211	123.74892	7.824843	4.838976	3.447572	0.872383	37.363
30.93696	13.20096	15.5754	36.3618	152.41211	8.311815	5.234304	3.391679	0.891098	50.054
40.55508	13.63476	17.01705	34.7748	122.07814	7.196688	4.830288	2.897787	0.932339	54.24
33.03216	13.92048	17.03025	26.8125	152.32871	7.620318	4.717776	2.666682	0.870227	52.863
31.1274	9.7092	17.16255	30.8067	143.30344	7.362252	4.533072	3.499776	0.871572	42.462
34.71444	9.561	12.49365	31.5738	133.19258	7.055424	4.397424	2.916418	0.869907	37.964
40.42836	9.81504	15.7869	26.3364	154.25108	7.230789	4.541712	2.771059	0.887388	52.851
38.4282	11.8254	14.2527	35.1981	150.23954	9.134856	4.186752	3.318984	0.910667	52.69
41.1264	9.942	14.18655	27.4473	147.39838	7.844364	5.468064	2.765448	0.888169	51.356
28.93716	10.74612	11.991	34.7217	149.15395	7.751781	4.576368	2.953711	0.857516	40.277
35.60328	9.96312	11.8191	31.6797	120.99116	7.600878	5.115984	2.976062	0.871747	35.929
35.2224	13.73004	12.55965	24.9873	147.81677	8.526141	4.270464	3.430801	0.853354	48.112
43.15824	11.75136	13.9617	28.8228	118.56839	8.336196	4.365696	3.244429	0.904028	46.069
43.72956	13.5078	13.3269	34.14	136.20054	7.255089	5.124672	2.813932	0.927452	56.93
40.20588	13.58184	16.6467	25.3311	157.92763	8.404398	5.069808	3.328315	0.892788	64.607
35.09532	12.9258	14.9934	29.2989	138.8749	8.09757	4.100208	3.121421	0.878023	47.221
35.88876	11.78304	14.5833	30.357	136.53414	7.956306	5.50848	3.141943	0.881938	47.773
41.69808	14.13216	16.779	33.9282	150.99153	7.264809	4.79856	2.838143	0.933638	65.524
30.33396	13.9416	12.0042	27.897	133.35938	7.737201	4.853376	3.40845	0.841618	38.753
41.571	11.4762	11.76615	31.9443	155.50486	8.214453	5.121744	3.371157	0.899933	53.542
43.63416	12.01584	17.20215	28.0029	128.34565	7.795602	5.436336	3.25562	0.917009	57.369
36.61884	11.99472	14.8743	23.4	145.9778	7.868664	4.694688	3.113981	0.859692	49.157
39.19032	13.86756	17.2815	23.5323	148.31717	8.599122	4.965936	2.769199	0.88512	61.068
