A	B	C	D	MeanMass	MeanLoad	ReliableLoad	SDLoad
30.7602	13.17062	14.53066	26.0476	0.846179997	43.62391081	37.7119839	1.970657415
30.7617	9.75824	14.20428	36.0221	0.878976018	41.5050595	36.10855839	1.798847499
30.7631	13.08683	15.3529	28.5677	0.858772041	44.94909033	39.03224296	1.972297585
30.7646	13.19656	12.54604	31.9589	0.860607385	42.47891911	36.94662406	1.844112491
30.766	14.19603	12.66282	27.1427	0.844120669	42.8201494	37.07975271	1.913480239
30.7675	12.17913	17.43453	26.3786	0.857939809	46.99328455	41.11787359	1.958485338
30.7689	13.46588	12.28733	24.5697	0.831332782	41.47393458	35.93000181	1.847991762
30.7704	12.1512	14.71451	34.6328	0.878940468	43.70693361	37.91354756	1.931143496
30.7718	13.06888	14.79117	26.1669	0.847414336	43.8027846	37.87560387	1.975742061
30.7733	12.7846	17.58724	29.5607	0.872096381	49.13467037	43.19708096	1.97921165
30.7747	9.63206	16.38713	34.0483	0.880423387	43.21747193	37.5842878	1.877742449
30.7762	11.41356	17.1872	32.9643	0.881922856	46.35541057	40.53483239	1.940207607
30.7776	14.03145	13.48146	35.253	0.879003747	44.76169859	38.99613569	1.921869037
30.7791	13.56213	17.16744	30.7752	0.876225969	49.85809109	43.89160883	1.988842675
30.7805	9.93928	14.74685	27.2904	0.84646817	40.85890408	35.38252611	1.825473322
30.782	13.09781	16.28532	29.3269	0.865707743	46.93864868	41.07084673	1.955948981
30.7834	10.59313	14.11445	25.8704	0.839306507	40.77739966	35.35120559	1.808745228
30.7848	11.10384	13.34911	32.8104	0.864394725	41.69377395	36.3577082	1.778702225
30.7863	14.17109	16.57876	35.4708	0.892795382	50.17579097	44.17326185	2.000858385
30.7877	14.06736	15.15946	34.3572	0.882285895	47.11167362	41.21076068	1.966986063
30.7892	11.68537	17.8705	25.7633	0.856859778	46.98418308	41.09815412	1.962024702
30.7906	10.97168	13.76113	26.8659	0.842301301	40.92473056	35.55373919	1.790344186
30.7921	10.3283	15.85235	24.961	0.842296293	41.76222339	36.13067466	1.877197307
30.7935	9.51436	16.31167	29.2678	0.860736953	42.16367798	36.5618195	1.867300482
30.795	12.55966	14.59833	32.979	0.872674168	43.88731079	38.06405536	1.94110003
30.7964	11.27192	16.7189	28.7621	0.862852745	44.68856012	38.91627475	1.924109878
30.7979	12.30481	13.99289	28.372	0.851524273	42.4170245	36.74122747	1.891946853
30.7993	12.51029	12.71911	25.292	0.834283772	41.18180901	35.70008816	1.827254298
30.8008	11.92377	14.31148	34.2698	0.875772381	43.1571014	37.44824398	1.90296707
30.8022	13.34418	14.0402	24.0271	0.837089571	43.17576104	37.32124606	1.951519958
30.8037	12.93222	12.94608	33.4921	0.868379388	42.83357396	37.25630866	1.859102695
30.8051	12.28087	17.00096	30.9758	0.874663687	47.29223309	41.41080118	1.960492335
30.8066	12.18162	15.30259	32.8277	0.874136837	44.28368861	38.42397999	1.953251189
30.808	14.37259	15.40021	34.319	0.883690195	48.0547176	42.11480451	1.979986214
30.8095	14.17209	16.14579	32.4905	0.87924281	48.87227404	42.90674644	1.988524452
30.8109	11.46742	12.28913	24.4024	0.827446911	39.86362791	34.61615066	1.749172499
30.8123	11.06494	13.41259	30.4897	0.855619656	41.36251229	36.02592026	1.778877654
30.8138	11.51181	12.61132	28.4385	0.844662605	40.79157172	35.57008277	1.740509665
30.8152	13.12723	15.09	23.9114	0.840666129	44.33844087	38.3238087	2.004892768
30.8167	12.38012	12.50172	34.2366	0.868561264	42.25984986	36.87940493	1.793495399
30.8181	10.27144	17.50939	29.7797	0.868910307	44.92479711	39.19069298	1.911382704
30.8196	12.75667	13.90964	31.4052	0.863628755	43.11078533	37.45172781	1.886366974
30.821	12.79607	13.31258	27.8134	0.847216448	42.15951901	36.50224878	1.885771203
30.8225	11.95619	15.37565	25.2773	0.844350324	43.2660107	37.45690192	1.936384445
30.8239	12.97661	13.98151	24.8897	0.83941747	42.86029511	37.06128956	1.933016677
30.8254	10.32331	15.37446	34.7227	0.879677603	42.87639729	37.19990702	1.892177933
30.8268	11.25446	16.76561	31.6611	0.874949621	45.3018151	39.52550871	1.925450229
30.8283	13.57161	17.54951	30.395	0.876856949	50.79159886	44.74844191	2.0144011
30.8297	12.72175	15.88109	25.2564	0.84796915	45.1395603	39.20261039	1.97899848
30.8312	13.10678	15.53555	32.0721	0.873622595	45.9373075	40.03134513	1.968669218
30.8326	10.29538	14.86303	29.5545	0.856715256	41.75620993	36.19515723	1.853698451
