Config	A	B	C	D	MeanLoad	MeanMass	ReliableLoad	SDLoad
17	43.2	14.41996559	15.65634923	24	61.94006755	0.8975	55.24546773	2.393066542
17	43.2	14.41996559	17.79471054	24.21312659	66.792489	0.907499998	59.89528401	2.528136665
17	43.2	14.41996559	17.82932515	26.54685033	67.3051044	0.916499988	60.35967539	2.560286005
17	43.2	14.41996559	17.81194378	29.16088167	67.67300467	0.926500199	60.67949532	2.592339566
17	43.2	14.41996559	17.76042708	32.06452621	68.00735428	0.937500698	60.97517473	2.618119701
17	43.2	14.41996559	17.71976046	34.6877394	68.36878222	0.947499994	61.30786769	2.637276354
18	28.8	12.14839653	12	24	38.67362821	0.817500112	32.95054128	1.745391289
18	28.8	14.41996559	13.36706373	24	41.71729131	0.827500314	35.88911354	1.815451847
18	31.93479488	14.41996559	12.61709772	24	44.0340826	0.837500518	38.09905315	1.886686299
18	33.36625911	14.41996559	13.56472914	24	46.81692984	0.847500244	40.73107169	1.987238763
18	31.69723965	14.41996559	17.57196902	24	51.04362478	0.857500643	44.77793274	2.107128026
18	33.86111091	14.41996559	17.76886828	24	54.29372723	0.867500409	47.87300106	2.210484113
18	35.9583666	14.41996559	18	24	57.37412985	0.8775	50.76601439	2.3354103
18	38.28862215	14.41996559	18	24	60.06210424	0.887499999	53.28519233	2.447941275
18	40.83784781	14.41996559	17.83397993	24	62.8202906	0.897500247	55.93076388	2.523017816
18	43.2	14.41996559	17.96668365	24	67.16995673	0.907499998	60.23370209	2.55416976
18	43.2	14.41996559	18	26.60135181	67.73544576	0.917500161	60.74507009	2.590250441
18	43.2	14.41996559	18	29.19383987	68.14268258	0.9275	61.09965089	2.625354459
18	43.2	14.41996559	18	31.77759335	68.55122712	0.937500008	61.46157855	2.656432381
18	43.2	14.41996559	18	34.35503567	68.99915325	0.9475	61.87042355	2.682486467
19	28.8	11.30591336	12.38926085	24	38.27373274	0.817500001	32.60118517	1.711698381
19	28.8	14.41996559	12.89239154	24.54177011	41.27754226	0.82750033	35.49670832	1.783889295
19	32.00191719	14.41996559	12.54874891	24	44.02982241	0.837500452	38.09545928	1.88624209
19	34.20468825	14.41996559	12.72839701	24	46.57835613	0.847499997	40.53712805	1.957485387
19	36.12611199	14.41996559	13.16380609	24	49.04745534	0.857500326	42.86381936	2.052423988
19	34.27045894	14.41996559	17.37827722	24	54.07407053	0.867500071	47.68783444	2.187490727
19	36.42765352	14.41996559	17.55708568	24	57.00941998	0.877500879	50.4572896	2.298086916
19	38.74680456	14.41996559	17.56958578	24	59.64311948	0.887499985	52.92386593	2.409502366
19	43.2	14.41996559	15.65634941	24	61.94006793	0.897500001	55.2454681	2.39306655
19	43.2	14.41996559	17.80475744	24.20080352	66.81439412	0.907499997	59.91510906	2.529523372
19	43.2	14.41996559	17.84208735	26.53155152	67.33381097	0.916499993	60.38566101	2.562099974
19	43.2	14.41996559	17.82289559	29.14787878	67.69781077	0.926500214	60.70195126	2.593906339
19	43.2	14.41996559	17.78080381	32.04028555	68.05305314	0.937500194	61.0165176	2.621023693
19	43.2	14.41996559	17.73105544	34.67452745	68.39383363	0.947500001	61.3305412	2.638861624
