"Status Code/Type"	"Row Name"	"Run #"	"Mapped Attributes and Options.Output Constraint Attributes.MeanMass - Lower Bound"	"Mapped Attributes and Options.Output Constraint Attributes.MeanMass - Upper Bound"	A	B	C	D	TargetMass	MeanLoad	MeanMass	"Optimization1 Results.Constraint Values at Optimum.MeanMass (Lower Bound Constraint)"	"Optimization1 Results.Constraint Values at Optimum.MeanMass (Upper Bound Constraint)"	"Optimization1 Results.Optimal Design.A"	"Optimization1 Results.Optimal Design.B"	"Optimization1 Results.Optimal Design.C"	"Optimization1 Results.Optimal Design.D"	"Optimization1 Results.Optimal Design.MeanLoad"	"Optimization1 Results.Optimal Design.MeanMass"	"Optimization1 Results.Optimal Design.Objective and Penalty"	"Optimization1 Results.Optimal Design.Objective Function"	"Optimization1 Results.Optimal Design.Penalty Function"	"Optimization1 Results.Optimal Design.ReliableLoad"	"Optimization1 Results.Optimal Design.Run #"	"Optimization1 Results.Optimal Design.SDLoad"	ReliableLoad	SDLoad
OK	Task[1].Loop[1]/Subflow[47]	47	0.8625	0.8634999999999999	36	12	15	30	0.863	39.18149376805468	0.8625000123580717	-0.0000000139876306	-0.0011318479252159	28.8	9.6	12.275539218869264	36	39.18149376805468	0.8625000123580717	0.7923575472805314	0.7923575472805314	0	34.25461486502586	87	1.6423055628981587	34.25461486502586	1.6423055628981587
OK	Task[1].Loop[1]/Subflow[48]	48	0.8635	0.8644999999999999	36	12	15	30	0.864	39.26679868626039	0.8635000541252389	-0.0000000612622964	-0.0011318006505501	28.8	9.6	12.522327565725288	36	39.26679868626039	0.8635000541252389	0.7940675118964907	0.7940675118964907	0	34.33741179352181	87	1.643141565869179	34.33741179352181	1.643141565869179
OK	Task[1].Loop[1]/Subflow[49]	49	0.8645	0.8654999999999999	36	12	15	30	0.865	39.366968133546706	0.864500127740123	-0.0000001445841799	-0.0011317173286666	28.8	9.6	12.764427439026914	36	39.366968133546706	0.864500127740123	0.7961040935511348	0.7961040935511348	0	34.4190774875879	87	1.6493095309033166	34.4190774875879	1.6493095309033166
OK	Task[1].Loop[1]/Subflow[50]	50	0.8655	0.8664999999999999	36	12	15	30	0.866	39.479718226799946	0.86550000005851	-0.0000000000662252	-0.0011318618466213	28.8	9.6	13.003053365286782	36	39.479718226799946	0.86550000005851	0.7984125631785473	0.7984125631785473	0	34.50225400847681	92	1.659167463952663	34.50225400847681	1.659167463952663
OK	Task[1].Loop[1]/Subflow[51]	51	0.8665	0.8674999999999999	36	12	15	30	0.867	39.60333473477479	0.8665000000501645	-0.0000000000567792	-0.0011318618560673	28.8	9.6	13.239292440620186	36	39.60333473477479	0.8665000000501645	0.8009514616608084	0.8009514616608084	0	34.589131159083294	92	1.6714140103220245	34.589131159083294	1.6714140103220245
OK	Task[1].Loop[1]/Subflow[52]	52	0.8675	0.8684999999999999	36	12	15	30	0.868	39.73636380796546	0.8674995714217765	0.0000004850913679	-0.0011323470042145	28.8	9.6	13.473830067042291	36	39.73636380796546	0.8674995714217765	0.8036858419250678	0.8036858419250678	0	34.68144956869257	87	1.68498433558117	34.68144956869257	1.68498433558117
OK	Task[1].Loop[1]/Subflow[53]	53	0.8685	0.8694999999999999	36	12	15	30	0.869	39.877878973948114	0.8685000000811391	-0.0000000000918383	-0.0011318618210083	28.8	9.6	13.707636109498909	36	39.877878973948114	0.8685000000811391	0.8065924900303997	0.8065924900303997	0	34.7808309300019	92	1.6990290448413035	34.7808309300019	1.6990290448413035
OK	Task[1].Loop[1]/Subflow[54]	54	0.8695	0.8704999999999999	36	12	15	30	0.87	40.02681722212131	0.8694999998142932	0.0000000002101946	-0.0011318621230411	28.8	9.6	13.940959105168432	36	40.02681722212131	0.8694999998142932	0.8096461222648343	0.8096461222648343	0	34.888402125747135	86	1.7128181680585968	34.888402125747135	1.7128181680585968
OK	Task[1].Loop[1]/Subflow[55]	55	0.8705	0.8714999999999999	36	12	15	30	0.871	40.182525806800186	0.8704999970475343	0.0000000033417835	-0.00113186525463	28.8	9.6	14.174346632509172	36	40.182525806800186	0.8704999970475343	0.8128305293915805	0.8128305293915805	0	35.00522636659052	86	1.725779715397131	35.00522636659052	1.725779715397131
OK	Task[1].Loop[1]/Subflow[56]	56	0.8715	0.8724999999999999	36	12	15	30	0.872	40.344438445321714	0.8714999879486691	0.0000000136404425	-0.001131875553289	28.8	9.6	14.408153494332614	36	40.344438445321714	0.8714999879486691	0.8161318767927668	0.8161318767927668	0	35.132102475781764	86	1.7374586480622511	35.132102475781764	1.7374586480622511
